Trade Date,Type,Ticker,Security Type,Price USD,Quantity,Amount USD
12/30/2019,Dividend,VOX,Stock,0,0,39.78
12/26/2019,Dividend,VDC,Stock,0,0,54.17
12/26/2019,Dividend,SCHZ,Bond,0,0,0.7
12/26/2019,Dividend,FHLC,Stock,0,0,5.67
12/26/2019,Dividend,FTEC,Stock,0,0,11.46
12/19/2019,Reinvest,VOX,Stock,94.26,0.42202,-39.78
12/19/2019,Reinvest,VDC,Stock,161.39,0.33564,-54.17
12/19/2019,Reinvest,VGT,Stock,240.48,0.27354,-65.78
12/19/2019,Dividend,VGT,Stock,0,0,65.78
12/17/2019,Reinvest,SCHA,Stock,74.9,0.53217,-39.86
12/17/2019,Dividend,SCHA,Stock,0,0,39.86
12/17/2019,Reinvest,SCHX,Stock,76.01,1.21523,-92.37
12/17/2019,Dividend,SCHX,Stock,0,0,92.37
12/17/2019,Reinvest,SCHF,Stock,33.51,3.43896,-115.24
12/17/2019,Dividend,SCHF,Stock,0,0,115.24
12/12/2019,Buy,FB,Stock,195,5,-975
12/06/2019,Reinvest,SCHZ,Bond,53.52,0.01401,-0.75
12/06/2019,Dividend,SCHZ,Bond,0,0,0.75
12/02/2019,Interest,QACDS,Money Market,0,0,0.78
11/07/2019,Dividend,SCHZ,Bond,0,0,0.74
11/01/2019,Interest,QACDS,Money Market,0,0,0.88
10/03/2019,Buy,AMZN,Stock,1710,10,-17100
10/01/2019,Interest,QACDS,Money Market,0,0,0.14
07/02/2019,Reinvest,SCHX,ETF,70.7,0.0768,-5.43
07/02/2019,Reinvest,SCHX,ETF,71.18,0.1846,-13.14
07/02/2019,Reinvest,SCHA,ETF,71.55,0.0362,-2.59
07/02/2019,Reinvest,SCHX,ETF,70.73,0.6118,-43.27
07/02/2019,Reinvest,SCHF,ETF,32.28,0.4065,-13.12
06/28/2019,Buy,SCHZ,Bond,50.64,6,-303.84
06/27/2019,Reinvest,VGT,ETF,210.96,0.3038,-64.09
06/27/2019,Reinvest,FHLC,ETF,44.71,0.1031,-4.61
06/27/2019,Reinvest,VOX,ETF,85.65,0.2801,-23.99
06/27/2019,Reinvest,VDC,ETF,148.16,0.3538,-52.42
03/27/2019,Reinvest,VOX,ETF,84.28,0.2437,-20.54
03/27/2019,Reinvest,VGT,ETF,199.15,0.2953,-58.81
03/27/2019,Reinvest,VDC,ETF,143.86,0.2606,-37.49
03/26/2019,Reinvest,SCHX,ETF,67.3,0.8369,-56.32
03/26/2019,Reinvest,SCHA,ETF,69.33,0.2612,-18.11
03/21/2019,Reinvest,FHLC,ETF,44.63,0.2162,-9.65
01/04/2019,Reinvest,SCHA,ETF,61.17,0.0376,-2.3
01/04/2019,Reinvest,FHLC,ETF,40.75,0.4653,-18.96
01/04/2019,Reinvest,SCHX,ETF,59.45,0.2821,-16.77
