Trade Date,Type,Ticker,Security Type,Price USD,Quantity,Amount USD
12/31/2020,DBT,NICE,Stock,0,0,-0.15
12/30/2020,Dividend,GS,Stock,0,0,25.32
12/30/2020,Reinvest,GS,Stock,258.93,0.09778,-25.32
12/29/2020,Reinvest,NVDA,Stock,516.8,0.00773,-3.99
12/29/2020,Dividend,VOX,Stock,0,0,31.62
12/29/2020,Dividend,VDC,Stock,0,0,90.2
12/29/2020,Dividend,NVDA,Stock,0,0,4
12/28/2020,Buy,FUBO,Option,4.7,2,-941.37
12/23/2020,Dividend,FTEC,Stock,0,0,12
12/23/2020,Dividend,FHLC,Stock,0,0,14.27
12/23/2020,Dividend,SCHZ,Bond,0,0,0.65
12/22/2020,Reinvest,VOX,Stock,118.76,0.26624,-31.62
12/22/2020,Reinvest,VDC,Stock,171.67,0.52541,-90.2
12/22/2020,Reinvest,VGT,Stock,352.15,0.2395,-84.34
12/22/2020,Dividend,VGT,Stock,0,0,84.34
12/21/2020,Sell,FUBO,Option,2.68,-2,534.61
12/21/2020,Reinvest,FBSOX,Mutual Fund,93.01,1.823,-169.53
12/21/2020,Dividend,FBSOX,Mutual Fund,0,0,169.53
12/18/2020,Reinvest,JATAX,Mutual Fund,52.04,11.747,-611.31
12/18/2020,Dividend,JATAX,Mutual Fund,0,0,611.31
12/17/2020,Reinvest,SCHA,Stock,87,0.37527,-32.65
12/17/2020,Dividend,SCHA,Stock,0,0,32.65
12/17/2020,Reinvest,SCHX,Stock,89.05,0.8384,-74.66
12/17/2020,Dividend,SCHX,Stock,0,0,74.66
12/17/2020,Reinvest,SCHF,Stock,35.43,2.32657,-82.43
12/17/2020,Dividend,SCHF,Stock,0,0,82.43
12/15/2020,Buy,LMND,Stock,87.5,35,-3062.5
12/15/2020,Buy,AVB,Stock,166.43,18,-2995.65
12/10/2020,Reinvest,MSFT,Stock,212.65,0.1588,-33.77
12/10/2020,Dividend,MSFT,Stock,0,0,33.77
12/09/2020,Deposit,CASH,Cash,0,0,6000
12/07/2020,Reinvest,SCHZ,Bond,55.91,0.01109,-0.62
12/07/2020,Dividend,SCHZ,Bond,0,0,0.62
12/04/2020,Buy,TDOC,Stock,190,8,-1520
12/04/2020,Buy,CRM,Stock,224.08,22,-4929.65
12/04/2020,Buy,JD,Stock,84,30,-2520
12/02/2020,Buy,TDOC,Stock,195.92,10,-1959.23
12/02/2020,Buy,FVRR,Stock,200.7,10,-2007
12/02/2020,Buy,APPN,Stock,158.57,25,-3964.25
12/02/2020,Buy,APPN,Stock,170,30,-5100
12/02/2020,Deposit,CASH,Cash,0,0,5000
12/01/2020,Split,MKC,Stock,0,20.20769,0
12/01/2020,Interest,QACDS,Money Market,0,0,0.1
11/30/2020,Buy,JD,Stock,87.12,30,-2613.6
11/30/2020,Deposit,CASH,Cash,0,0,10000
11/27/2020,Buy,ATVI,Stock,75,50,-3750
11/25/2020,Buy,CRWD,Stock,143,30,-4290
11/25/2020,Buy,AAPL,Stock,115,100,-11500
11/24/2020,Buy,ZBRA,Stock,355,10,-3550
11/23/2020,Deposit,CASH,Cash,0,0,10000
11/20/2020,Deposit,CASH,Cash,0,0,15000
11/09/2020,Reinvest,MA,Stock,346.76,0.03463,-12.01
11/09/2020,Dividend,MA,Stock,0,0,12.01
11/06/2020,Reinvest,SCHZ,Bond,55.91,0.01234,-0.69
11/06/2020,Dividend,SCHZ,Bond,0,0,0.69
10/19/2020,Reinvest,MKC,Stock,200.96,0.06215,-12.49
10/19/2020,Dividend,MKC,Stock,0,0,12.49
10/07/2020,Reinvest,SCHZ,Bond,55.82,0.01182,-0.66
10/07/2020,Dividend,SCHZ,Bond,0,0,0.66
10/01/2020,Interest,QACDS,Money Market,0,0,0.06
09/29/2020,Reinvest,GS,Stock,197.91,0.12712,-25.16
09/29/2020,Dividend,GS,Stock,0,0,25.16
09/28/2020,Reinvest,SCHA,Stock,67.99,0.44416,-30.2
09/28/2020,Dividend,SCHA,Stock,0,0,30.2
09/28/2020,Reinvest,SCHX,Stock,80.11,1.21803,-97.58
09/28/2020,Dividend,SCHX,Stock,0,0,97.58
09/24/2020,Reinvest,NVDA,Stock,493.6,0.0081,-4
09/24/2020,Dividend,NVDA,Stock,0,0,4
09/23/2020,Dividend,FHLC,Stock,0,0,10.74
09/23/2020,Dividend,FTEC,Stock,0,0,11.34
09/22/2020,Reinvest,VDC,Stock,162.97,0.30507,-49.72
09/22/2020,Reinvest,VOX,Stock,102.16,0.33281,-34
09/22/2020,Dividend,VDC,Stock,0,0,49.72
09/22/2020,Dividend,VOX,Stock,0,0,34
09/16/2020,Reinvest,VGT,Stock,310.34,0.27804,-86.29
09/16/2020,Dividend,VGT,Stock,0,0,86.29
09/10/2020,Reinvest,MSFT,Stock,211.07,0.14535,-30.68
09/10/2020,Dividend,MSFT,Stock,0,0,30.68
09/08/2020,Reinvest,SCHZ,Bond,56.25,0.0112,-0.63
09/08/2020,Dividend,SCHZ,Bond,0,0,0.63
09/01/2020,Interest,QACDS,Money Market,0,0,0.07
08/31/2020,Split,TSLA,Stock,0,160,0
08/07/2020,Reinvest,MA,Stock,326.38,0.03676,-12
08/07/2020,Dividend,MA,Stock,0,0,12
08/07/2020,Reinvest,SCHZ,Bond,56.93,0.01282,-0.73
08/07/2020,Dividend,SCHZ,Bond,0,0,0.73
08/03/2020,Interest,QACDS,Money Market,0,0,0.09
07/23/2020,Buy,NFLX,Stock,475,5,-2375
07/20/2020,Reinvest,MKC,Stock,189.91,0.06555,-12.45
07/20/2020,Dividend,MKC,Stock,0,0,12.45
07/14/2020,Buy,FSLY,Stock,75,40,-3000
07/08/2020,Reinvest,SCHZ,Bond,56.25,0.01208,-0.68
07/08/2020,Dividend,SCHZ,Bond,0,0,0.68
07/01/2020,Interest,QACDS,Money Market,0,0,0.23
06/30/2020,Dividend,VOX,Stock,0,0,33.53
06/30/2020,Dividend,VDC,Stock,0,0,72.92
06/29/2020,Buy,CRWD,Stock,95,30,-2850
06/29/2020,Dividend,GS,Stock,0,0,25
06/29/2020,Dividend,SCHF,Stock,0,0,38.26
06/29/2020,Dividend,SCHX,Stock,0,0,60.08
06/29/2020,Dividend,SCHA,Stock,0,0,12.69
06/26/2020,Buy,WEX,Stock,170,20,-3400
06/26/2020,Dividend,NVDA,Stock,0,0,4
06/25/2020,Reinvest,VDC,Stock,148.44,0.49124,-72.92
06/25/2020,Reinvest,VOX,Stock,92.51,0.36246,-33.53
06/25/2020,Reinvest,VGT,Stock,272.72,0.30101,-82.09
06/25/2020,Dividend,VGT,Stock,0,0,82.09
06/24/2020,Dividend,FHLC,Stock,0,0,10.55
06/24/2020,Dividend,FTEC,Stock,0,0,11.76
06/11/2020,Reinvest,MSFT,Stock,193.88,0.15782,-30.6
06/11/2020,Dividend,MSFT,Stock,0,0,30.6
06/08/2020,Buy,SHOP,Stock,750,5,-3750
06/08/2020,Buy,SHOP,Stock,730,10,-7300
06/05/2020,Reinvest,SCHZ,Bond,55.42,0.01227,-0.68
06/05/2020,Dividend,SCHZ,Bond,0,0,0.68
06/01/2020,Deposit,CASH,Cash,0,0,30000
05/29/2020,DBT,LKNCY,Stock,0,0,-0.22
05/12/2020,Buy,CHGG,Stock,61,100,-6100
05/07/2020,Reinvest,SCHZ,Bond,55.37,0.013,-0.72
05/07/2020,Dividend,SCHZ,Bond,0,0,0.72
05/04/2020,Buy,VDC,Stock,145,5,-725
05/04/2020,Buy,GS,Stock,172,20,-3440
05/04/2020,Buy,JATAX,Mutual Fund,39.26,64.466,-2530.88
04/30/2020,Buy,JD,Stock,43,100,-4300
04/28/2020,Buy,DIS,Stock,106,10,-1060
04/27/2020,Reinvest,MKC,Stock,155.01,0.07999,-12.4
04/27/2020,Dividend,MKC,Stock,0,0,12.4
