Trade Date,Type,Ticker,Security Type,Price USD,Quantity,Amount USD
12/29/2021,Dividend,GS,Stock,0,0,52.88
12/29/2021,Reinvest,GS,Stock,0,0.15428,-52.88
12/27/2021,Dividend,VDC,Stock,0,0,73.88
12/27/2021,Reinvest,VDC,Stock,0,0.38217,-73.88
12/27/2021,Dividend,VOX,Stock,0,0,66.6
12/27/2021,Reinvest,VOX,Stock,0,0.49554,-66.6
12/23/2021,Dividend,NVDA,Stock,0,0,6.89
12/23/2021,Reinvest,NVDA,Stock,0,0.02326,-6.89
12/23/2021,Dividend,SCHZ,Stock,0,0,0.6
12/23/2021,Reinvest,SCHZ,Stock,0,0.01113,-0.6
12/22/2021,DBS,QACDS,Money Market,0,13.66,-13.66
12/22/2021,Dividend,FHLC,Stock,0,0,13.66
12/22/2021,Dividend,FTEC,Stock,0,0,15.53
12/22/2021,Reinvest,FTEC,Stock,0,0.11732,-15.53
12/21/2021,Dividend,VGT,Stock,0,0,113.54
12/21/2021,Reinvest,VGT,Stock,0,0.25678,-113.54
12/21/2021,CAP,JATAX,Mutual Fund,0,0,1161.26
12/21/2021,Dividend,JATAX,Mutual Fund,0,0,42.68
12/20/2021,WDL,QACDS,Money Market,0,-7931.96,7931.96
12/20/2021,Buy,NET,Stock,60,132.1993,-7931.96
12/20/2021,CAP,FBSOX,Mutual Fund,0,0,318.94
12/20/2021,CAP,FBSOX,Mutual Fund,0,0,77.89
12/20/2021,Reinvest,FBSOX,Mutual Fund,0,3.972,-318.94
12/20/2021,Reinvest,FBSOX,Mutual Fund,0,0.97,-77.89
12/16/2021,DEPOSIT,,,0,0,8000
12/16/2021,DBS,QACDS,Money Market,0,8052.82,-8052.82
12/16/2021,DBT,NICE,Stock,0,0,-0.06
12/16/2021,DBT,NTDOY,Stock,0,0,-5
12/16/2021,Dividend,NTDOY,Stock,0,0,68.35
12/16/2021,WHT,NTDOY,Stock,0,0,-10.47
12/13/2021,Dividend,SCHF,Stock,0,0,141.14
12/13/2021,Reinvest,SCHF,Stock,0,3.6847,-141.14
12/13/2021,Dividend,SCHX,Stock,0,0,84.58
12/13/2021,Reinvest,SCHX,Stock,0,0.75229,-84.58
12/13/2021,Dividend,SCHA,Stock,0,0,53.48
12/13/2021,Reinvest,SCHA,Stock,0,0.53269,-53.48
12/09/2021,Dividend,MSFT,Stock,0,0,37.73
12/09/2021,Reinvest,MSFT,Stock,0,0.11284,-37.73
12/07/2021,Dividend,SCHZ,Stock,0,0,0.59
12/07/2021,Reinvest,SCHZ,Stock,0,0.01089,-0.59
12/01/2021,Interest,,Municipal Bond,0,0,0.07
12/01/2021,Reinvest,QACDS,Money Market,0,0.07,-0.07
11/26/2021,WDL,QACDS,Money Market,0,-4634.7,4634.7
11/24/2021,WDL,QACDS,Money Market,0,-7400,7400
11/23/2021,Buy,ADSK,Stock,15,308.98,-4634.7
11/23/2021,WDL,QACDS,Money Market,0,-2154.55,2154.55
11/19/2021,DEPOSIT,,,0,0,8021.22
11/19/2021,Buy,UPST,Stock,10,215.455,-2154.55
11/19/2021,DBS,QACDS,Money Market,0,8021.22,-8021.22
11/15/2021,WDL,QACDS,Money Market,0,-3705.66,3705.66
11/12/2021,Dividend,ASML,Stock,0,0,14.59
11/12/2021,Reinvest,ASML,Stock,0,0.01475,-12.41
11/12/2021,WHT,ASML,Stock,0,0,-2.18
11/11/2021,Dividend,AAPL,Stock,0,0,22.11
11/11/2021,Reinvest,AAPL,Stock,0,0.1484,-22.11
11/10/2021,Buy,UPST,Stock,14,264.69,-3705.66
11/09/2021,Dividend,MA,Stock,0,0,13.28
11/09/2021,Reinvest,MA,Stock,0,0.03853,-13.28
11/05/2021,Dividend,SCHZ,Stock,0,0,0.59
11/05/2021,Reinvest,SCHZ,Stock,0,0.01085,-0.59
11/01/2021,Interest,,Municipal Bond,0,0,0.03
11/01/2021,Reinvest,QACDS,Money Market,0,0.03,-0.03
10/26/2021,Dividend,MKC,Stock,0,0,13.9
10/26/2021,Reinvest,MKC,Stock,0,0.17211,-13.9
10/22/2021,WDL,QACDS,Money Market,0,-5319.86,5319.86
10/22/2021,Dividend,MTN,Stock,0,0,13.2
10/22/2021,Reinvest,MTN,Stock,0,0.038,-13.2
10/20/2021,DEPOSIT,,,0,0,15000
10/20/2021,DBS,QACDS,Money Market,0,15000,-15000
10/20/2021,Buy,ASML,Stock,759.98,7,-5319.86
10/15/2021,Dividend,AVB,Stock,0,0,29.36
10/15/2021,Reinvest,AVB,Stock,0,0.12571,-29.36
10/08/2021,Dividend,VOX,Stock,0,0,51.59
10/08/2021,Reinvest,VOX,Stock,0,0.36627,-51.59
10/08/2021,Dividend,VDC,Stock,0,0,60.91
10/08/2021,Reinvest,VDC,Stock,0,0.33961,-60.91
10/07/2021,Dividend,SCHZ,Stock,0,0,0.58
10/07/2021,Reinvest,SCHZ,Stock,0,0.01071,-0.58
10/04/2021,Dividend,VGT,Stock,0,0,122.35
10/04/2021,Reinvest,VGT,Stock,0,0.3064,-122.35
09/29/2021,Dividend,GS,Stock,0,0,41
09/29/2021,Reinvest,GS,Stock,0,0.10558,-41
09/27/2021,Dividend,SCHX,Stock,0,0,69.62
09/27/2021,Reinvest,SCHX,Stock,0,0.64841,-69.62
09/27/2021,Dividend,SCHA,Stock,0,0,31.62
09/27/2021,Reinvest,SCHA,Stock,0,0.30742,-31.62
09/23/2021,Dividend,NVDA,Stock,0,0,6.89
09/23/2021,Reinvest,NVDA,Stock,0,0.03112,-6.89
09/22/2021,DBS,QACDS,Money Market,0,11.59,-11.59
09/22/2021,Dividend,FHLC,Stock,0,0,11.59
09/22/2021,Dividend,FTEC,Stock,0,0,11.82
09/22/2021,Reinvest,FTEC,Stock,0,0.09734,-11.82
09/09/2021,Dividend,MSFT,Stock,0,0,34.01
09/09/2021,Reinvest,MSFT,Stock,0,0.11301,-34.01
09/08/2021,Dividend,SCHZ,Stock,0,0,0.57
09/08/2021,Reinvest,SCHZ,Stock,0,0.01041,-0.57
08/12/2021,Dividend,AAPL,Stock,0,0,22.07
08/12/2021,Reinvest,AAPL,Stock,0,0.15095,-22.07
08/09/2021,Dividend,MA,Stock,0,0,13.26
08/09/2021,Reinvest,MA,Stock,0,0.03543,-13.26
08/06/2021,Dividend,SCHZ,Stock,0,0,0.61
08/06/2021,Reinvest,SCHZ,Stock,0,0.01109,-0.61
07/26/2021,Dividend,MKC,Stock,0,0,13.84
07/26/2021,Reinvest,MKC,Stock,0,0.16249,-13.84
07/20/2021,SPLT,NVDA,Stock,0,129.1656,0
07/15/2021,DBT,NTDOY,Stock,0,0,-5
07/15/2021,Dividend,NTDOY,Stock,0,0,159.26
07/15/2021,WHT,NTDOY,Stock,0,0,-24.39
07/15/2021,Dividend,AVB,Stock,0,0,29.15
07/15/2021,Reinvest,AVB,Stock,0,0.13052,-29.15
07/15/2021,DBS,QACDS,Money Market,0,129.87,-129.87
07/08/2021,DBS,QACDS,Money Market,0,19.32,-19.32
07/08/2021,Dividend,POTX,Stock,0,0,19.32
07/08/2021,Dividend,SCHZ,Stock,0,0,0.6
07/08/2021,Reinvest,SCHZ,Stock,0,0.01091,-0.6
07/01/2021,Dividend,NVDA,Stock,0,0,6.89
07/01/2021,Reinvest,NVDA,Stock,0,0.00856,-6.89
07/01/2021,Interest,,Municipal Bond,0,0,0.05
07/01/2021,Reinvest,QACDS,Money Market,0,0.05,-0.05
06/30/2021,Dividend,VOX,Stock,0,0,33.54
06/30/2021,Dividend,VDC,Stock,0,0,59.54
06/29/2021,Reinvest,VGT,Stock,398.53,0.20261,-80.75
06/29/2021,Dividend,VGT,Stock,0,0,80.75
06/29/2021,Reinvest,GS,Stock,372.51,0.06856,-25.54
06/29/2021,Dividend,GS,Stock,0,0,25.54
06/28/2021,Reinvest,SCHA,Stock,104.75,0.22988,-24.08
06/28/2021,Dividend,SCHA,Stock,0,0,24.08
06/28/2021,Reinvest,SCHX,Stock,103.68,0.63474,-65.81
06/28/2021,Dividend,SCHX,Stock,0,0,65.81
06/28/2021,Reinvest,SCHF,Stock,39.77,1.40517,-55.89
06/28/2021,Dividend,SCHF,Stock,0,0,55.89
06/24/2021,Reinvest,VOX,Stock,143.62,0.23353,-33.54
06/24/2021,Reinvest,VDC,Stock,181.03,0.32888,-59.54
06/23/2021,Reinvest,FTEC,Stock,115.46,0.10332,-11.93
06/23/2021,Dividend,FHLC,Stock,0,0,11.16
06/23/2021,Dividend,FTEC,Stock,0,0,11.93
06/17/2021,Split,TTD,Stock,0,270,0
06/10/2021,Reinvest,MSFT,Stock,254.16,0.13353,-33.94
06/10/2021,Dividend,MSFT,Stock,0,0,33.94
06/07/2021,Reinvest,SCHZ,Bond,54.26,0.0105,-0.57
06/07/2021,Dividend,SCHZ,Bond,0,0,0.57
05/28/2021,DBT,LKNCY,Stock,0,0,-0.4
05/28/2021,DBT,BABA,Stock,0,0,-0.06
05/13/2021,Reinvest,AAPL,Stock,125.48,0.17556,-22.03
05/13/2021,Dividend,AAPL,Stock,0,0,22.03
05/07/2021,Reinvest,SCHZ,Bond,54.41,0.01176,-0.64
05/07/2021,Dividend,SCHZ,Bond,0,0,0.64
05/07/2021,Reinvest,MA,Stock,374.28,0.0354,-13.25
05/07/2021,Dividend,MA,Stock,0,0,13.25
05/06/2021,Reinvest,ATVI,Stock,90.12,0.26076,-23.5
05/06/2021,Dividend,ATVI,Stock,0,0,23.5
04/26/2021,Reinvest,MKC,Stock,91.5,0.15071,-13.79
04/26/2021,Dividend,MKC,Stock,0,0,13.79
04/15/2021,Reinvest,AVB,Stock,187.57,0.15407,-28.9
04/15/2021,Dividend,AVB,Stock,0,0,28.9
04/12/2021,Reinvest,FBSOX,Mutual Fund,95.69,1.252,-119.79
04/12/2021,Reinvest,FBSOX,Mutual Fund,95.69,0.135,-12.9
04/12/2021,Dividend,FBSOX,Mutual Fund,0,0,12.9
04/12/2021,Dividend,FBSOX,Mutual Fund,0,0,119.79
04/08/2021,Reinvest,SCHZ,Bond,54.1,0.01146,-0.62
04/08/2021,Dividend,SCHZ,Bond,0,0,0.62
04/07/2021,Dividend,VOX,Stock,0,0,28.55
04/07/2021,Dividend,VDC,Stock,0,0,55.56
03/31/2021,Reinvest,VGT,Stock,357.01,0.24234,-86.52
03/31/2021,Reinvest,NVDA,Stock,525.65,0.0131,-6.89
03/31/2021,Dividend,VGT,Stock,0,0,86.52
03/31/2021,Dividend,NVDA,Stock,0,0,6.89
03/30/2021,Reinvest,GS,Stock,331.05,0.07684,-25.44
03/30/2021,Dividend,GS,Stock,0,0,25.44
03/29/2021,Reinvest,SCHA,Stock,99.12,0.23617,-23.41
03/29/2021,Reinvest,SCHX,Stock,95.66,0.60923,-58.28
03/29/2021,Dividend,SCHA,Stock,0,0,23.41
03/29/2021,Dividend,SCHX,Stock,0,0,58.28
03/24/2021,Reinvest,FTEC,Stock,105.55,0.11274,-11.9
03/24/2021,Dividend,FHLC,Stock,0,0,12.26
03/24/2021,Dividend,FTEC,Stock,0,0,11.9
03/11/2021,Buy,NTDOY,Stock,69.65,100,-6965.25
03/11/2021,Buy,SNBR,Option,6.03,1,-603.69
03/11/2021,Reinvest,MSFT,Stock,236.38,0.14324,-33.86
03/11/2021,Dividend,MSFT,Stock,0,0,33.86
03/05/2021,Reinvest,SCHZ,Bond,54.07,0.01146,-0.62
03/05/2021,Dividend,SCHZ,Bond,0,0,0.62
03/04/2021,Buy,VGT,Stock,350,15,-5250
03/04/2021,Buy,TTD,Stock,680,10,-6800
03/04/2021,Buy,NVDA,Stock,508,8,-4064
03/04/2021,Buy,MELI,Stock,1519,3,-4557
03/04/2021,Buy,HUBS,Stock,480,10,-4800
03/04/2021,Buy,POTX,Stock,16,200,-3200
03/04/2021,Buy,ETSY,Stock,207.61,12,-2491.32
02/26/2021,DBT,JD,Stock,0,0,-1.79
02/25/2021,Sell,SNBR,Option,7.67,-1,766.3
02/25/2021,Buy,ABNB,Option,1.71,1,-171.69
02/23/2021,Buy,PINS,Stock,73.08,130,-9500.4
02/23/2021,Buy,PYPL,Stock,258.51,15,-3877.65
02/23/2021,Buy,TEAM,Stock,231.92,30,-6957.6
02/11/2021,Reinvest,AAPL,Stock,135.8,0.15095,-20.5
02/11/2021,Dividend,AAPL,Stock,0,0,20.5
02/09/2021,Reinvest,MA,Stock,333.45,0.03967,-13.23
02/09/2021,Dividend,MA,Stock,0,0,13.23
02/05/2021,Reinvest,SCHZ,Bond,55.43,0.0119,-0.66
02/05/2021,Dividend,SCHZ,Bond,0,0,0.66
01/29/2021,Buy,MELI,Stock,1766.29,3,-5298.87
01/27/2021,Sell,ABNB,Option,10.82,-1,1081.28
01/27/2021,Buy,MTN,Stock,272.51,15,-4087.58
01/27/2021,Buy,TWLO,Stock,347,15,-5205
01/27/2021,Buy,TTD,Stock,754.45,10,-7544.53
01/27/2021,Buy,PYPL,Stock,230.55,29,-6685.97
01/27/2021,Buy,OKTA,Stock,252,20,-5040
01/27/2021,Buy,NVDA,Stock,523.79,10,-5237.85
01/27/2021,Buy,HUBS,Stock,350.06,25,-8751.38
01/27/2021,Buy,ETSY,Stock,203.56,50,-10178
01/27/2021,Buy,ABNB,Stock,194.72,50,-9735.91
01/19/2021,Buy,AMD,Stock,89.53,34,-3044.02
01/15/2021,Reinvest,AVB,Stock,160.13,0.17872,-28.62
01/15/2021,Dividend,AVB,Stock,0,0,28.62
01/11/2021,Reinvest,MKC,Stock,94.64,0.14518,-13.74
01/11/2021,Dividend,MKC,Stock,0,0,13.74
01/04/2021,Interest,QACDS,Money Market,0,0,0.04
