Trade Date,Type,Ticker,Security Type,Price USD,Quantity,Amount USD
03/11/2021,Buy,MSFT,Stock,236.39,0.14324,33.86
12/10/2020,Buy,MSFT,Stock,212.66,0.1588,33.77
09/10/2020,Buy,MSFT,Stock,211.08,0.14535,30.68
06/11/2020,Buy,MSFT,Stock,193.89,0.15782,30.60
04/17/2020,Buy,MSFT,Stock,176.00,40,7040.00
03/09/2020,Buy,MSFT,Stock,151.00,20,3020.00
12/16/2021,Buy,NET,Stock,132.20,60,7931.96
07/23/2020,Buy,NFLX,Stock,475.00,5,2375.00
01/23/2020,Buy,NFLX,Stock,326.00,10,3260.00
02/24/2020,Buy,NICE,Stock,170.00,20,3400.00
07/03/2025,Buy,NVDA,Stock,158.78,0.11658,18.51
04/02/2025,Buy,NVDA,Stock,107.33,0.17246,18.51
01/27/2025,Buy,NVDA,Stock,118.94,15,1784.10
01/27/2025,Buy,NVDA,Stock,125.98,20,2519.70
01/27/2025,Buy,NVDA,Stock,125.69,20,2513.80
01/27/2025,Buy,NVDA,Stock,117.84,40,4713.60
01/10/2025,Buy,NVDA,Stock,135.72,30,4071.45
12/27/2024,Buy,NVDA,Stock,136.41,0.12653,17.26
10/03/2024,Buy,NVDA,Stock,121.10,0.14245,17.25
06/28/2024,Buy,NVDA,Stock,124.45,0.13861,17.25
03/27/2024,Buy,NVDA,Stock,91.50,0.0753,6.89
12/28/2023,Buy,NVDA,Stock,49.60,0.1391,6.90
09/28/2023,Buy,NVDA,Stock,42.46,0.1625,6.90
06/30/2023,Buy,NVDA,Stock,42.18,0.1636,6.90
03/29/2023,Buy,NVDA,Stock,26.91,0.2564,6.90
12/22/2022,Buy,NVDA,Stock,15.66,0.4407,6.90
09/29/2022,Buy,NVDA,Stock,12.26,0.5622,6.89
07/01/2022,Buy,NVDA,Stock,14.88,0.4629,6.89
03/24/2022,Buy,NVDA,Stock,26.39,0.2611,6.89
12/23/2021,Buy,NVDA,Stock,29.62,0.2326,6.89
