Trade Date,Type,Ticker,Security Type,Price USD,Quantity,Amount USD
12/31/2024,WDL,QACDS,Money Market,0,-28771.4,28771.4
12/31/2024,Buy,VGT,Stock,621.49,9,-5593.37
12/31/2024,Buy,VOO,Stock,538.62,10,-5386.15
12/30/2024,BNK,,Other,0,0,30000
12/30/2024,WDL,QACDS,Money Market,0,-13452.4,13452.4
12/30/2024,Dividend,GS,Stock,0,0,67.19
12/30/2024,Buy,GS,Stock,568.26,0.11823,-67.18
12/30/2024,Buy,VTI,Stock,291.85,50,-14592.25
12/30/2024,Buy,VGT,Stock,632.12,15,-9481.73
12/30/2024,Buy,VOX,Stock,156.58,30,-4697.43
12/27/2024,BNK,,Other,0,0,50000
12/27/2024,DBS,QACDS,Money Market,0,50000,-50000
12/27/2024,Dividend,FBSOX,Mutual Fund,0,0,2.23
12/27/2024,CAP,FBSOX,Mutual Fund,0,0,416.42
12/27/2024,Reinvest,FBSOX,Mutual Fund,0,6.726,-416.42
12/27/2024,Reinvest,FBSOX,Mutual Fund,0,0.036,-2.23
12/27/2024,Dividend,META,Stock,0,0,12.54
12/27/2024,Buy,META,Stock,594.16,0.0211,-12.54
12/27/2024,Buy,FTEC,Stock,188.39,51,-9607.89
12/27/2024,Buy,FTEC,Stock,188.39,2.08137,-392.11
12/27/2024,Buy,NVDA,Stock,136.4,0.12653,-17.26
12/27/2024,Dividend,NVDA,Stock,0,0,17.26
12/27/2024,Dividend,SCHZ,Stock,0,0,1.12
12/27/2024,Buy,SCHZ,Stock,22.68,0.04937,-1.12
12/27/2024,Buy,VTI,Stock,293.77,50,-14688.6
12/27/2024,Buy,VOX,Stock,156.6,40,-6263.8
12/27/2024,Buy,VOO,Stock,546.48,0.87366,-477.44
12/27/2024,Buy,VOO,Stock,546.48,22,-12022.56
12/26/2024,Buy,VTI,Stock,296.35,0.31759,-94.12
12/26/2024,Dividend,VTI,Stock,0,0,94.12
12/26/2024,Dividend,VDC,Stock,0,0,76.58
12/26/2024,Reinvest,VDC,Stock,0,0.36144,-76.58
12/26/2024,Dividend,VOX,Stock,0,0,77.29
12/26/2024,Reinvest,VOX,Stock,0,0.4943,-77.29
12/26/2024,Dividend,VOO,Stock,0,0,331.07
12/26/2024,Buy,VOO,Stock,551.54,0.60026,-331.07
12/24/2024,Buy,FHLC,Stock,65.95,0.23866,-15.74
12/24/2024,Dividend,FHLC,Stock,0,0,15.74
12/24/2024,Dividend,FTEC,Stock,0,0,77.71
12/24/2024,Buy,FTEC,Stock,190.17,0.40863,-77.71
12/24/2024,Buy,FCOM,Stock,59.85,1,-59.85
12/24/2024,Dividend,FCOM,Stock,0,0,59.85
12/23/2024,DBS,QACDS,Money Market,0,0.01,-0.01
12/20/2024,Dividend,VGT,Stock,0,0,140.98
12/20/2024,Buy,VGT,Stock,617.2,0.22841,-140.97
12/19/2024,WDL,QACDS,Money Market,0,-36384.08,36384.08
12/18/2024,BNK,,Other,0,0,25000
12/18/2024,DBS,QACDS,Money Market,0,6768.99,-6768.99
12/18/2024,Buy,FTEC,Stock,185.13,30,-5553.9
12/18/2024,Buy,SCHF,Stock,18.95,8.06649,-152.86
12/18/2024,Dividend,SCHF,Stock,0,0,152.86
12/18/2024,Buy,VGT,Stock,621.02,10,-6210.24
12/18/2024,Buy,VGT,Stock,630.97,10,-6309.72
12/18/2024,Buy,VOX,Stock,156.62,30,-4698.53
12/18/2024,Buy,VOO,Stock,540.84,10,-5408.38
12/18/2024,Buy,VOO,Stock,546.89,15,-8203.31
12/17/2024,Buy,FTEC,Stock,190.55,20,-3811.08
12/17/2024,Buy,VOO,Stock,554.7,6,-3328.2
12/17/2024,Buy,VOO,Stock,554.59,20,-11091.73
12/16/2024,Buy,SCHX,Stock,23.95,4.25488,-101.9
12/16/2024,Dividend,SCHX,Stock,0,0,101.9
12/16/2024,Dividend,SCHA,Stock,0,0,76.81
12/16/2024,Buy,SCHA,Stock,27.06,2.8386,-76.81
12/13/2024,WDL,QACDS,Money Market,0,-0.2,0.2
12/13/2024,DBT,NICE,Stock,0,0,-0.2
12/12/2024,Dividend,MSFT,Stock,0,0,51.81
12/12/2024,Buy,MSFT,Stock,450,0.11513,-51.81
12/09/2024,Reinvest,JATAX,Mutual Fund,0,1.448,-89.8
12/09/2024,Dividend,JATAX,Mutual Fund,0,0,89.8
12/09/2024,CAP,JATAX,Mutual Fund,0,0,1105.54
12/09/2024,Reinvest,JATAX,Mutual Fund,0,17.828,-1105.54
12/09/2024,Dividend,PAYC,Stock,0,0,12.75
12/09/2024,Buy,PAYC,Stock,235.03,0.05424,-12.75
12/06/2024,Buy,SCHZ,Stock,23.31,0.0429,-1
12/06/2024,Dividend,SCHZ,Stock,0,0,1
12/04/2024,Exchange,,Stock,0,-90,
12/04/2024,Exchange,ANET,Stock,0,360,
12/02/2024,Reinvest,QACDS,Money Market,0,1.06,-1.06
12/02/2024,Dividend,VMFXX,Money Market,0,0,945.71
12/02/2024,Reinvest,VMFXX,Money Market,0,945.71,-945.71
12/02/2024,Interest,,Municipal Bond,0,0,1.06
11/26/2024,BNK,,Other,0,0,-340000
11/26/2024,WDL,QACDS,Money Market,0,-340000,340000
11/25/2024,WDL,QACDS,Money Market,0,-20753.58,20753.58
11/22/2024,Buy,MSFT,Stock,415.07,50,-20753.58
11/20/2024,DBS,QACDS,Money Market,0,320000,-320000
11/19/2024,Sell,VMFXX,Money Market,1,-320000,320000
11/15/2024,DBS,QACDS,Money Market,0,279.69,-279.69
11/14/2024,Dividend,AAPL,Stock,0,0,25.54
11/14/2024,Buy,AAPL,Stock,226.23,0.11289,-25.54
11/14/2024,Sell, NOV 24 PUT 517.50,Option,0.1,-30,279.69
11/08/2024,Buy,MA,Stock,522.86,0.04515,-23.61
11/08/2024,Dividend,MA,Stock,0,0,23.61
11/07/2024,Dividend,ASML,Stock,0,0,20.19
11/07/2024,Buy,ASML,Stock,673.06,0.02551,-17.17
11/07/2024,WHT,ASML,Stock,0,0,-3.02
11/07/2024,Dividend,SCHZ,Stock,0,0,1.11
11/07/2024,Buy,SCHZ,Stock,22.98,0.0483,-1.11
11/06/2024,WDL,QACDS,Money Market,0,-13778.3,13778.3
11/05/2024,Buy, NOV 24 PUT 517.50,Option,4.59,30,-13778.3
11/01/2024,WDL,QACDS,Money Market,0,-28244,28244
11/01/2024,Reinvest,QACDS,Money Market,0,0.92,-0.92
11/01/2024,Dividend,VMFXX,Money Market,0,0,1477.79
11/01/2024,Reinvest,VMFXX,Money Market,0,1477.79,-1477.79
11/01/2024,Interest,,Municipal Bond,0,0,0.92
10/31/2024,Buy,VTI,Stock,282.44,100,-28244
10/24/2024,Buy,MTN,Stock,168.35,0.21799,-36.7
10/24/2024,Dividend,MTN,Stock,0,0,36.7
10/21/2024,Dividend,MKC,Stock,0,0,18.2
10/21/2024,Buy,MKC,Stock,79.15,0.22993,-18.2
10/15/2024,DBS,QACDS,Money Market,0,11779.67,-11779.67
10/15/2024,Dividend,AVB,Stock,0,0,34.7
10/15/2024,Buy,AVB,Stock,225.01,0.15421,-34.7
10/11/2024,Sell,TEAM,Stock,190,-62,11779.67
10/11/2024,STK SPLT,SCHF,Stock,0,181.23745,
10/11/2024,STK SPLT,SCHX,Stock,0,857.72316,
10/11/2024,STK SPLT,SCHA,Stock,0,227.24839,
10/11/2024,STK SPLT,SCHZ,Stock,0,6.88435,
10/08/2024,Buy,CRM,Stock,285.18,0.03096,-8.83
10/08/2024,Dividend,CRM,Stock,0,0,8.83
10/07/2024,Dividend,SCHZ,Stock,0,0,0.96
10/07/2024,Buy,SCHZ,Stock,46.77,0.02052,-0.96
10/03/2024,Buy,NVDA,Stock,121.09,0.14245,-17.25
10/03/2024,Dividend,NVDA,Stock,0,0,17.25
10/03/2024,Dividend,VDC,Stock,0,0,83.22
10/03/2024,Reinvest,VDC,Stock,0,0.38119,-83.22
10/03/2024,Dividend,VOX,Stock,0,0,88.16
10/03/2024,Reinvest,VOX,Stock,0,0.60442,-88.16
10/01/2024,Reinvest,QACDS,Money Market,0,0.8,-0.8
10/01/2024,Reinvest,VMFXX,Money Market,0,1509.21,-1509.21
10/01/2024,Dividend,VMFXX,Money Market,0,0,1509.21
10/01/2024,Dividend,VGT,Stock,0,0,166.22
10/01/2024,Buy,VGT,Stock,575.62,0.28876,-166.22
10/01/2024,Buy,VOO,Stock,523.43,0.43514,-227.77
10/01/2024,Dividend,VOO,Stock,0,0,227.77
10/01/2024,Interest,,Municipal Bond,0,0,0.8
9/30/2024,Dividend,SCHX,Stock,0,0,88.33
9/30/2024,Buy,SCHX,Stock,67.55,1.30756,-88.33
9/30/2024,Buy,SCHA,Stock,51.48,0.77047,-39.66
9/30/2024,Dividend,SCHA,Stock,0,0,39.66
9/27/2024,Dividend,GS,Stock,0,0,66.78
9/27/2024,Buy,GS,Stock,497.28,0.13429,-66.78
9/26/2024,Buy,META,Stock,575.81,0.02174,-12.52
9/26/2024,Dividend,META,Stock,0,0,12.52
9/24/2024,DBS,QACDS,Money Market,0,85,-85
9/24/2024,Dividend,FHLC,Stock,0,0,15.25
9/24/2024,Dividend,FTEC,Stock,0,0,71.13
9/24/2024,Buy,FTEC,Stock,171.98,0.41359,-71.13
9/24/2024,Dividend,FCOM,Stock,0,0,69.75
09/12/2024,Dividend,MSFT,Stock,0,0,46.74
09/12/2024,Buy,MSFT,Stock,422.36,0.11066,-46.74
09/09/2024,WDL,QACDS,Money Market,0,-14987.25,14987.25
09/09/2024,Dividend,PAYC,Stock,0,0,12.75
09/09/2024,Dividend,SCHZ,Stock,0,0,1.1
09/09/2024,Buy,SCHZ,Stock,47.46,0.02317,-1.1
09/06/2024,Buy,VOO,Stock,500,30,-15000
09/05/2024,WDL,QACDS,Money Market,0,-5064.2,5064.2
09/04/2024,BNK,,Other,0,0,100000
09/04/2024,DBS,QACDS,Money Market,0,100000,-100000
09/04/2024,Buy,VOO,Stock,506.42,10,-5064.2
09/03/2024,Reinvest,QACDS,Money Market,0,0.21,-0.21
09/03/2024,Dividend,VMFXX,Money Market,0,0,1617.51
09/03/2024,Reinvest,VMFXX,Money Market,0,1617.51,-1617.51
09/03/2024,Interest,,Municipal Bond,0,0,0.21
8/15/2024,Dividend,AAPL,Stock,0,0,25.51
8/15/2024,Buy,AAPL,Stock,223.49,0.11414,-25.51
08/09/2024,Buy,MA,Stock,455.58,0.05173,-23.57
08/09/2024,Dividend,MA,Stock,0,0,23.57
08/08/2024,WDL,QACDS,Money Market,0,-4799.99,4799.99
08/07/2024,Dividend,ASML,Stock,0,0,20.18
08/07/2024,Buy,ASML,Stock,878.82,0.01952,-17.15
08/07/2024,Buy,SCHZ,Stock,46.69,0.02184,-1.02
08/07/2024,Dividend,SCHZ,Stock,0,0,1.02
08/07/2024,Buy,VOO,Stock,480,10,-4800
08/06/2024,WDL,QACDS,Money Market,0,-9520.5,9520.5
08/05/2024,WDL,QACDS,Money Market,0,-12204.3,12204.3
08/05/2024,Buy,VOO,Stock,476.03,20,-9520.5
08/02/2024,DBS,QACDS,Money Market,0,48015.5,-48015.5
08/02/2024,Buy,VOO,Stock,487.74,15,-7316.1
08/02/2024,Buy,VOO,Stock,488.82,10,-4888.2
08/01/2024,Reinvest,QACDS,Money Market,0,0.22,-0.22
08/01/2024,Dividend,VMFXX,Money Market,0,0,1901.36
08/01/2024,Sell,VMFXX,Money Market,1,-50000,50000
08/01/2024,Reinvest,VMFXX,Money Market,0,1901.36,-1901.36
08/01/2024,Buy,VOO,Stock,496.13,4,-1984.5
08/01/2024,Interest,,Municipal Bond,0,0,0.22
7/31/2024,WDL,QACDS,Money Market,0,-18622.44,18622.44
7/30/2024,Buy,FTEC,Stock,161.88,30,-4856.5
7/30/2024,Buy,VGT,Stock,550.91,10,-5509.13
7/30/2024,Buy,VGT,Stock,557.28,10,-5572.78
7/30/2024,Buy,VOX,Stock,134.2,20,-2684.03
7/25/2024,DBS,QACDS,Money Market,0,14979.1,-14979.1
7/25/2024,Dividend,DIS,Stock,0,0,20.32
7/25/2024,Buy,DIS,Stock,89.99,0.2258,-20.32
7/25/2024,Buy,CRM,Stock,254.63,0.03459,-8.81
7/25/2024,Dividend,CRM,Stock,0,0,8.81
7/24/2024,Sell,VMFXX,Money Market,1,-20000,20000
7/24/2024,Buy,VOO,Stock,502.09,10,-5020.9
7/22/2024,WDL,QACDS,Money Market,0,-5055.2,5055.2
7/22/2024,Dividend,MKC,Stock,0,0,18.1
7/22/2024,Buy,MKC,Stock,73.71,0.24555,-18.1
7/19/2024,Buy,VOO,Stock,505.52,10,-5055.2
7/18/2024,WDL,QACDS,Money Market,0,-11022.25,11022.25
7/17/2024,DBS,QACDS,Money Market,0,3674.89,-3674.89
7/17/2024,Buy,VGT,Stock,590,10,-5900
7/17/2024,Buy,VOO,Stock,512.23,10,-5122.25
7/16/2024,Sell,APPN,Stock,35,-105,3674.89
7/15/2024,DBS,QACDS,Money Market,0,3791.73,-3791.73
7/15/2024,Dividend,AVB,Stock,0,0,34.41
7/15/2024,Buy,AVB,Stock,202.99,0.16951,-34.41
7/15/2024,ADR,NTDOY,Stock,0,0,-14.18
7/15/2024,Dividend,NTDOY,Stock,0,0,101.58
07/12/2024,WDL,QACDS,Money Market,0,-2610.46,2610.46
07/12/2024,Dividend,BABA,Stock,0,0,8.42
07/12/2024,Buy,BABA,Stock,80.61,0.1032,-8.32
07/12/2024,ADR,BABA,Stock,0,0,-0.1
07/12/2024,Sell,ETSY,Stock,60,-62,3719.89
07/11/2024,Sell,NTDOY,Stock,14.14,-500,7069.8
07/11/2024,Sell,UPST,Stock,26.1,-54,1409.36
07/11/2024,Buy,VGT,Stock,597,10,-5970
07/11/2024,Buy,VOO,Stock,511.96,10,-5119.62
07/10/2024,DBS,QACDS,Money Market,0,16374.96,-16374.96
07/10/2024,Dividend,MTN,Stock,0,0,36.23
07/10/2024,Buy,MTN,Stock,174.02,0.20819,-36.23
07/09/2024,BNK,,Other,0,0,-50000
07/09/2024,WDL,QACDS,Money Market,0,-50000,50000
07/09/2024,Sell,ADYEY,Stock,11.93,-150,1788.93
07/09/2024,Sell,ADSK,Stock,244.33,-15,3664.86
07/09/2024,Sell,CHGG,Stock,2.8,-100,279.49
07/09/2024,Sell,FSLY,Stock,7.15,-40,285.99
07/09/2024,Sell,JD,Stock,26.74,-169,4518.09
07/09/2024,Sell,PINS,Stock,43.63,-130,5671.74
07/09/2024,Sell,TDOC,Stock,9.21,-18,165.86
07/08/2024,Buy,SCHZ,Stock,45.78,0.02031,-0.93
07/08/2024,Dividend,SCHZ,Stock,0,0,0.93
07/08/2024,Reinvest,VDC,Stock,0,0.47594,-96.47
07/08/2024,Dividend,VDC,Stock,0,0,96.47
07/08/2024,Reinvest,VOX,Stock,0,0.34089,-47.8
07/08/2024,Dividend,VOX,Stock,0,0,47.8
07/03/2024,DBS,QACDS,Money Market,0,0.01,-0.01
07/02/2024,Dividend,VGT,Stock,0,0,107.55
07/02/2024,Buy,VGT,Stock,578.94,0.18576,-107.54
07/01/2024,Reinvest,QACDS,Money Market,0,0.21,-0.21
07/01/2024,Dividend,VMFXX,Money Market,0,0,1940.97
07/01/2024,Reinvest,VMFXX,Money Market,0,1940.97,-1940.97
07/01/2024,Dividend,SCHF,Stock,0,0,65.09
07/01/2024,Buy,SCHF,Stock,38.66,1.68381,-65.09
07/01/2024,Buy,SCHX,Stock,64.32,1.36556,-87.84
07/01/2024,Dividend,SCHX,Stock,0,0,87.84
07/01/2024,Dividend,SCHA,Stock,0,0,36.11
07/01/2024,Buy,SCHA,Stock,47.38,0.76209,-36.11
07/01/2024,Interest,,Municipal Bond,0,0,0.21
6/28/2024,Dividend,NVDA,Stock,0,0,17.25
6/28/2024,Buy,NVDA,Stock,124.44,0.13861,-17.25
6/27/2024,Buy,GS,Stock,444.94,0.13673,-60.84
6/27/2024,Dividend,GS,Stock,0,0,60.84
6/26/2024,Dividend,META,Stock,0,0,12.51
6/26/2024,Buy,META,Stock,506.08,0.02471,-12.51
6/25/2024,DBS,QACDS,Money Market,0,66.51,-66.51
6/25/2024,Dividend,FHLC,Stock,0,0,14.76
6/25/2024,Dividend,FTEC,Stock,0,0,66.29
6/25/2024,Buy,FTEC,Stock,169.31,0.39153,-66.29
6/25/2024,Dividend,FCOM,Stock,0,0,51.75
6/17/2024,DBS,QACDS,Money Market,0,40000,-40000
6/14/2024,Sell,VMFXX,Money Market,1,-40000,40000
6/13/2024,Buy,MSFT,Stock,440.34,0.10596,-46.66
6/13/2024,Dividend,MSFT,Stock,0,0,46.66
06/10/2024,DBS,QACDS,Money Market,0,12.75,-12.75
06/10/2024,STK SPLT,NVDA,Stock,0,1552.74804,
06/10/2024,Dividend,PAYC,Stock,0,0,12.75
06/07/2024,Dividend,SCHZ,Stock,0,0,1.1
06/07/2024,Buy,SCHZ,Stock,45.38,0.02424,-1.1
06/03/2024,Reinvest,QACDS,Money Market,0,0.09,-0.09
06/03/2024,Reinvest,VMFXX,Money Market,0,2078.05,-2078.05
06/03/2024,Dividend,VMFXX,Money Market,0,0,2078.05
06/03/2024,Interest,,Municipal Bond,0,0,0.09
5/31/2024,WDL,QACDS,Money Market,0,-0.42,0.42
5/31/2024,DBT,BABA,Stock,0,0,-0.05
5/31/2024,DBT,LKNCY,Stock,0,0,-0.37
5/16/2024,Dividend,AAPL,Stock,0,0,25.48
5/16/2024,Buy,AAPL,Stock,190.71,0.1336,-25.48
05/09/2024,Buy,MA,Stock,455.54,0.05167,-23.54
05/09/2024,Dividend,MA,Stock,0,0,23.54
05/08/2024,DBS,QACDS,Money Market,0,0.01,-0.01
05/07/2024,Dividend,ASML,Stock,0,0,22.97
05/07/2024,Buy,ASML,Stock,924.88,0.02111,-19.52
05/07/2024,WHT,ASML,Stock,0,0,-3.44
05/07/2024,Dividend,SCHZ,Stock,0,0,0.95
05/07/2024,Buy,SCHZ,Stock,45.31,0.02096,-0.95
